guid,sentence1,sentence2,score
240,我爱去咖啡馆,享受安静的时光,1
241,你有喜欢的电视节目吗,我比较喜欢综艺,0
242,我最近在学习插画,希望能有自己的风格,1
243,她在参加演讲训练,我觉得很有帮助,1
244,你觉得教育最重要的是什么,我认为是启发思维,0
245,我在做一些手工艺品,希望能送给朋友,1
246,我喜欢参加各种活动,认识不同的人,1
247,你觉得旅行和学习哪个更重要,我觉得两者都很重要,0
248,我最近在学编程,希望能做出自己的项目,1
249,我在参加一个阅读俱乐部,讨论书籍很有趣,1
250,你有参加过什么比赛吗,我比较少参加,0
251,我最近在参加写作班,希望能提高写作技巧,1
252,你喜欢喝什么酒,我不太喝酒,0
253,我在学习新的编程技巧,希望能做出有趣的项目,1
254,他总是很乐观,我觉得他的态度很好,1
255,我爱去美术馆,欣赏各种艺术作品,1
256,你觉得哪个电影最好看,我最喜欢科幻片,0
257,我在练习吉他,希望能弹得更好,1
258,你有去过哪个音乐节吗,我觉得很有意思,0
259,我想学习茶艺,品味不同的茶,1
260,我在参加一个摄影工作坊,希望能提高技能,1
261,你喜欢哪些运动项目,我比较喜欢团队运动,0
262,我最近在尝试新的饮食习惯,感觉很不错,1
263,我爱去旅行,体验不同的文化,1
264,你有喜欢的作家吗,我比较喜欢小说,0
265,我在学习如何做陶艺,希望能制作自己的作品,1
266,她在准备期末考试,我觉得很重要,1
267,你觉得春天最美的是什么,我觉得花开最美,0
268,我最近在读一些心理学书籍,感觉很有启发,1
269,我喜欢参加各类志愿者活动,帮助别人很快乐,1
270,你有学过乐器吗,我只会简单的钢琴,0
271,我在参加一次跑步比赛,希望能取得好成绩,1
272,他在学习新的舞蹈,我觉得很有趣,1
273,你喜欢什么类型的美食,我喜欢海鲜,0
274,我最近在看一些科幻小说,觉得很吸引人,1
275,我想学习如何养花,让家里更美丽,1
276,你觉得写作最重要的是什么,我认为是表达思想,0
277,我在尝试新的健身计划,希望能看到效果,1
278,我喜欢去公园散步,享受大自然,1
279,你最近有什么特别的活动,我只是在家休息,0
280,我在学习新的技能,希望能增加自己的竞争力,1
281,她在参加游泳比赛,我觉得她很有实力,1
282,你有喜欢的运动队吗,我不太关注体育,0
283,我最近在学烹饪,尝试做不同的菜,1
284,我爱去海边,享受阳光和沙滩,1
285,你喜欢看什么类型的电视剧,我喜欢悬疑剧,0
286,我在研究历史,对古代文化很感兴趣,1
287,我想学习摄影,记录生活中的美好时刻,1
288,你觉得学习最重要的是什么,我觉得是积累经验,0
289,我在参加一次书展,希望能找到好书,1
290,我喜欢喝果汁,特别是橙汁,1
291,你有参加过什么活动吗,我不太参加,0
292,我在学习新的手工艺,希望能制作出好的作品,1
293,他在练习演讲,我觉得很有挑战,1
294,你喜欢什么风格的音乐,我更喜欢民谣,0
295,我最近在看一些励志书籍,很受启发,1
296,我在做一个科学项目,希望能取得好成绩,1
297,你觉得人际关系重要吗,我认为非常重要,0
298,我在参加一个马拉松训练营,希望能提升能力,1
299,我爱喝茶,每天都要喝一杯,1
300,你觉得哪个城市最好玩,我觉得每个地方都有其独特之处,0
301,我在学习新的编程语言,希望能用在工作中,1
302,他在参加钢琴比赛,我觉得很有潜力,1
303,你有喜欢的运动员吗,我不太关注,0
304,我最近在看一些关于心理学的书,很有趣,1
305,我在学习插花,希望能提高我的艺术修养,1
306,你觉得旅行能带来什么,我觉得能拓宽视野,0
307,我在参加一个读书会,希望能与大家分享我的观点,1
308,我喜欢去参加艺术展览,欣赏不同的作品,1
309,你有喜欢的美食吗,我特别喜欢甜点,0
310,我在练习瑜伽,希望能增强我的柔韧性,1
311,我爱摄影,希望能拍出美丽的照片,1
312,你觉得最好的学习方式是什么,我认为是实践,0
313,我在参加一个音乐培训班,希望能提高演奏技巧,1
314,我最近在学习如何绘画,希望能表达我的想法,1
315,你有参加过哪些活动吗,我只参加过一次,0
316,我在准备一次重要的演讲,希望能表现出色,1
317,我喜欢去咖啡店,享受安静的时光,1
318,你觉得哪种运动最有趣,我觉得游泳很不错,0
319,我在学习新的乐器,希望能和朋友一起演奏,1
320,她在参加一个艺术比赛,我觉得她很有才华,1
321,你最近在做什么,我只是在放松,0
322,我在尝试新的饮食,希望能改善健康,1
323,我爱旅行,喜欢探索不同的文化,1
324,你喜欢什么类型的书籍,我喜欢科幻小说,0
325,我在学习如何做饭,希望能为家人准备美味的食物,1
326,我在参加一个摄影比赛,希望能展示我的作品,1
327,你觉得运动最重要的是什么,我认为是坚持,0
328,我在尝试新的运动项目,希望能找到我的兴趣,1
329,我喜欢去书店,发现新书总是令人兴奋,1
330,你有特别喜欢的明星吗,我不太关注娱乐圈,0
331,我在学习新的手工艺,希望能提高我的动手能力,1
332,她在参加一次演讲比赛,我觉得她很勇敢,1
333,你觉得做什么工作最快乐,我认为是与人交流,0
334,我在学习新的技能,希望能在职场上脱颖而出,1
335,我爱去音乐节,享受现场表演的氛围,1
336,你最近有参加什么活动吗,我没有特别的安排,0
337,我在准备一个科学项目,希望能取得好成绩,1
338,我喜欢去博物馆,欣赏历史和艺术,1
339,你觉得工作和生活的平衡重要吗,我认为很重要,0
340,我在参加一个写作培训班,希望能提高我的写作能力,1
341,我爱喝咖啡,每天都要喝一杯,1
342,你有参加过哪些比赛吗,我比较少参加,0
343,我在学习新的语言,希望能流利交流,1
344,他在练习跑步,我觉得很不错,1
345,你喜欢什么样的音乐风格,我比较喜欢流行音乐,0
346,我最近在看一些关于个人成长的书,很有启发,1
347,我在参加一个编程比赛,希望能展示我的能力,1
348,你觉得旅行能带来什么改变,我觉得能拓宽眼界,0
349,我在学习如何制作甜点,希望能做出美味的食物,1
350,我爱去公园散步,享受自然的美好,1
351,我最近在学习如何做咖啡,希望能泡出好喝的,1
352,你喜欢去哪个地方旅行,我觉得每个地方都有自己的魅力,0
353,我在参加一个绘画工作坊,希望能提高我的艺术技巧,1
354,他在学习如何打鼓,我觉得很有趣,1
355,我爱逛书店,总能发现新书,1
356,你觉得生活中最重要的是什么,我认为是健康,0
357,我在尝试新的运动,希望能找到我的兴趣所在,1
358,我喜欢去电影院看电影,享受大屏幕的效果,1
359,你有听过那首新歌吗,我觉得还不错,0
360,我在学习新的手工艺技巧,希望能制作出漂亮的作品,1
361,我最近在读一本关于心理学的书,感觉很有启发,1
362,你觉得运动对身体健康重要吗,我认为非常重要,0
363,我在参加一个志愿者项目,希望能帮助更多人,1
364,我喜欢喝饮料,特别是冰饮,1
365,你有学过舞蹈吗,我只会简单的舞步,0
366,我在学习新的编程语言,希望能用到实际工作中,1
367,她在参加一次音乐比赛,我觉得她很有才华,1
368,你最近有看过什么书吗,我只在看电子书,0
369,我在尝试新的饮食方式,希望能更健康,1
370,我爱去茶馆,品尝各种茶,1
371,你觉得社交活动重要吗,我觉得对人际关系有帮助,0
372,我在参加一个创意写作班,希望能提升我的写作水平,1
373,我最近在学如何做寿司,觉得很有趣,1
374,你有参加过哪些展览吗,我只去过一次,0
375,我在学习新的技能,希望能为职业发展打下基础,1
376,我喜欢参加各类比赛,挑战自己很有趣,1
377,你觉得旅行的意义是什么,我觉得是增长见识,0
378,我在准备一次演讲,希望能说得流畅,1
379,我最近在看一些关于科技的纪录片,很受启发,1
380,你有喜欢的博物馆吗,我特别喜欢自然历史博物馆,0
381,我在学习如何制作糕点,希望能做出好吃的,1
382,我爱去健身房,保持身体健康,1
383,你觉得学习新的技能难吗,我认为需要耐心,0
384,我在参加一个艺术课程,希望能提高我的艺术感觉,1
385,我喜欢骑自行车,享受骑行的乐趣,1
386,你有喜欢的剧集吗,我喜欢喜剧类型,0
387,我在学习新的外语,希望能流利对话,1
388,他在准备一次重要的比赛,我觉得很有挑战,1
389,你最近有什么兴趣爱好,我没有特别的爱好,0
390,我在参加一个科学俱乐部,希望能了解更多知识,1
391,我爱喝鲜榨果汁,感觉很健康,1
392,你有参加过什么活动吗,我比较少参加,0
393,我在学习如何画水彩,希望能表达我的想法,1
394,她在参加一次书法比赛,我觉得她很有才华,1
395,你觉得成功的关键是什么,我认为是坚持不懈,0
396,我在尝试新的运动项目,希望能锻炼身体,1
397,我喜欢去剧院看话剧,享受现场表演的氛围,1
398,你有看过哪些经典电影吗,我比较喜欢老电影,0
399,我在学习如何编程,希望能做出自己的项目,1
400,我在参加一次摄影展,希望能与大家分享我的作品,1
401,你觉得美术重要吗,我认为是文化的一部分,0
402,我在学习如何做陶器,希望能制作出独特的作品,1
403,我爱去旅行,喜欢体验新的文化,1
404,你最近有看过什么纪录片,我觉得很有意思,0
405,我在准备一次科学展览,希望能取得好成绩,1
406,我喜欢参加各类活动,拓宽视野很有趣,1
407,你有喜欢的作家吗,我特别喜欢科幻类作家,0
408,我在学习新的手工艺,希望能制作出有趣的作品,1
409,她在参加一次摄影比赛,我觉得她的作品很棒,1
410,你觉得团队合作重要吗,我认为非常重要,0
411,我在尝试新的饮食习惯,希望能保持健康,1
412,我爱喝牛奶,每天都要喝,1
413,你有喜欢的饮料吗,我特别喜欢茶,0
414,我在学习如何写程序,希望能提升我的技术水平,1
415,他在参加一次演讲比赛,我觉得他很有潜力,1
416,你最近有什么兴趣,我只是在家放松,0
417,我在参加一个文化交流活动,希望能了解不同文化,1
418,我喜欢去公园跑步,享受运动的乐趣,1
419,你觉得最好的学习方法是什么,我认为是实践,0
420,我在学习新的乐器,希望能和朋友一起演奏,1
421,她在参加一次舞蹈比赛,我觉得她很努力,1
422,你有喜欢的运动员吗,我不太关注体育,0
423,我最近在读一本关于历史的书,感觉很有趣,1
424,我在学习新的绘画技巧,希望能提高我的艺术水平,1
425,你觉得社交活动能带来什么,我认为能增进友谊,0
426,我在参加一次写作比赛,希望能展现我的才华,1
427,我喜欢喝酸奶,感觉很健康,1
428,你有参加过什么课程吗,我只参加过一次,0
429,我在尝试新的运动,希望能锻炼身体,1
430,我爱去茶馆,享受安静的时光,1
431,你最近有什么计划,我没有特别的安排,0
432,我在学习如何做甜点,希望能给朋友分享美食,1
433,他在准备一次重要的比赛,我觉得很有挑战,1
434,你觉得学习的最重要的是什么,我认为是积累经验,0
435,我在参加一个摄影工作坊,希望能提高我的技能,1
436,我喜欢去博物馆,欣赏历史和艺术,1
437,你最近有什么新的兴趣爱好,我没有特别的爱好,0
438,我在学习如何养花,希望能让家里更美丽,1
439,我爱喝果汁,特别是橙汁,1
440,你觉得运动对身体的重要性如何,我认为非常重要,0
441,我在参加一次志愿者活动,希望能帮助别人,1
442,我最近在学习新的编程语言,希望能用到工作中,1
443,她在参加一次演讲训练,我觉得她很勇敢,1
444,你喜欢什么样的音乐风格,我比较喜欢电子音乐,0
445,我在学习新的技能,希望能为未来打下基础,1
446,我爱去健身房,保持身体健康,1
447,你觉得社交活动对工作重要吗,我认为很重要,0
448,我在参加一个艺术课程,希望能提高我的艺术感觉,1
449,我喜欢骑自行车,享受骑行的乐趣,1
450,你有喜欢的剧集吗,我喜欢犯罪悬疑类,0
451,我在学习新的外语,希望能流利对话,1
452,他在准备一次重要的比赛,我觉得很有挑战,1
453,你最近有什么兴趣爱好,我没有特别的爱好,0
454,我在参加一个科学俱乐部,希望能了解更多知识,1
455,我爱喝鲜榨果汁,感觉很健康,1
456,你有参加过什么活动吗,我比较少参加,0
457,我在学习如何画水彩,希望能表达我的想法,1
458,她在参加一次书法比赛,我觉得她很有才华,1
459,你觉得成功的关键是什么,我认为是坚持不懈,0
460,我在尝试新的运动项目,希望能锻炼身体,1
461,我喜欢去剧院看话剧,享受现场表演的氛围,1
462,你有看过哪些经典电影吗,我比较喜欢老电影,0
463,我在学习如何编程,希望能做出自己的项目,1
464,我在参加一次摄影展,希望能与大家分享我的作品,1
465,你觉得美术重要吗,我认为是文化的一部分,0
466,我在学习如何做陶器,希望能制作出独特的作品,1
467,我爱去旅行,喜欢体验新的文化,1
468,你最近有看过什么纪录片,我觉得很有意思,0
469,我在准备一次科学展览,希望能取得好成绩,1
470,我喜欢参加各类活动,拓宽视野很有趣,1
471,你有喜欢的作家吗,我特别喜欢科幻类作家,0
472,我在学习新的手工艺,希望能制作出有趣的作品,1
473,她在参加一次摄影比赛,我觉得她的作品很棒,1
474,你觉得团队合作重要吗,我认为非常重要,0
475,我在尝试新的饮食习惯,希望能保持健康,1
476,我爱喝牛奶,每天都要喝,1
477,你有喜欢的饮料吗,我特别喜欢茶,0
478,我在学习如何写程序,希望能提升我的技术水平,1
479,他在参加一次演讲比赛,我觉得他很有潜力,1
480,你最近有什么兴趣,我只是在家放松,0
481,我在参加一个文化交流活动,希望能了解不同文化,1
482,我喜欢去公园跑步,享受运动的乐趣,1
483,你觉得最好的学习方法是什么,我认为是实践,0
484,我在学习新的乐器,希望能和朋友一起演奏,1
485,她在参加一次舞蹈比赛,我觉得她很努力,1
486,你有喜欢的运动员吗,我不太关注体育,0
487,我最近在读一本关于历史的书,感觉很有趣,1
488,我在学习新的绘画技巧,希望能提高我的艺术水平,1
489,你觉得社交活动能带来什么,我认为能增进友谊,0
490,我在参加一次写作比赛,希望能展现我的才华,1
491,我喜欢喝酸奶,感觉很健康,1
492,你有参加过什么课程吗,我只参加过一次,0
493,我在尝试新的运动,希望能锻炼身体,1
494,我爱去茶馆,享受安静的时光,1
495,你最近有什么计划,我没有特别的安排,0
496,我在学习如何做甜点,希望能给朋友分享美食,1
497,他在准备一次重要的比赛,我觉得很有挑战,1
498,你觉得学习的最重要的是什么,我认为是积累经验,0
499,我在参加一个摄影工作坊,希望能提高我的技能,1
500,我喜欢去博物馆,欣赏历史和艺术,1
501,我最近在学习如何做饭,希望能为家人准备美味的饭菜,1
502,你喜欢什么类型的音乐,我比较喜欢摇滚乐,0
503,我在参加一个艺术展,希望能欣赏到优秀的作品,1
504,他在学习新的舞蹈风格,我觉得很有挑战性,1
505,我爱去健身房锻炼,保持身体健康很重要,1
506,你觉得什么样的电影最好看,我觉得科幻片很精彩,0
507,我在尝试新的饮食习惯,希望能改善我的健康,1
508,我最近在读一本关于经济的书,觉得很有趣,1
509,你有参加过什么志愿活动吗,我曾经参加过几次,0
510,我在学习如何做面包,希望能掌握更多技巧,1
511,我喜欢去咖啡馆,享受安静的时光,1
512,你觉得旅行能带来什么,我认为能开阔视野,0
513,我在参加一次马拉松比赛,希望能挑战自己,1
514,我爱看书,特别是历史类书籍,1
515,你有喜欢的博物馆吗,我最喜欢自然历史博物馆,0
516,我在学习新的编程语言,希望能用在项目中,1
517,她在准备一次重要的演讲,我觉得她很有勇气,1
518,你最近有什么特别的计划,我没有什么安排,0
519,我在参加一个创意写作班,希望能提升我的写作能力,1
520,我喜欢跑步,每天都要锻炼,1
521,你觉得学习新技能难吗,我认为只要有兴趣就不难,0
522,我在尝试新的运动项目,希望能找到适合我的,1
523,我最近在学摄影,希望能拍出美丽的照片,1
524,你有参加过什么比赛吗,我只参加过一次,0
525,我在学习如何养花,希望能让家里更美丽,1
526,我爱喝茶,特别是绿茶,1
527,你有特别喜欢的食物吗,我非常喜欢意大利面,0
528,我在参加一次科学展览,希望能取得好成绩,1
529,他在学习吉他,我觉得很有才华,1
530,你觉得运动的重要性如何,我认为非常重要,0
531,我在参加一个文化交流活动,希望能了解不同文化,1
532,我喜欢去书店,发现新书总是令人兴奋,1
533,你有喜欢的运动吗,我喜欢游泳,0
534,我在学习如何画画,希望能提升我的艺术水平,1
535,她在参加一次音乐比赛,我觉得她的声音很好,1
536,你最近有看过什么电影吗,我只看了老电影,0
537,我在尝试新的手工艺,希望能制作出漂亮的作品,1
538,我爱去海边,享受阳光和沙滩,1
539,你觉得生活中最重要的是什么,我认为是家庭,0
540,我在参加一个马拉松训练营,希望能提升我的耐力,1
541,我喜欢喝果汁,特别是橙汁,1
542,你有听过那首新歌吗,我觉得很不错,0
543,我在学习新的外语,希望能流利交流,1
544,他在准备一次演讲,我觉得很有挑战,1
545,你最近有什么兴趣爱好,我没有特别的爱好,0
546,我在参加一个科学项目,希望能取得好成果,1
547,我爱看纪录片,觉得很有教育意义,1
548,你觉得团队合作重要吗,我认为非常重要,0
549,我在学习如何做甜点,希望能给朋友分享美味,1
550,我喜欢去公园散步,享受自然的宁静,1
551,你有参加过什么活动吗,我比较少参加,0
552,我在学习新的舞蹈,希望能提升我的舞技,1
553,她在参加一次艺术比赛,我觉得她很有创意,1
554,你觉得写作的重要性是什么,我认为是表达思想,0
555,我在参加一个编程课程,希望能提升我的技能,1
556,我爱去博物馆,欣赏历史和艺术,1
557,你有喜欢的作家吗,我特别喜欢科幻作家,0
558,我在学习新的技能,希望能增加自己的竞争力,1
559,我最近在读一本小说,觉得故事很吸引人,1
